anio,diaSemana,codificacion_linea,codificacion_estacion,codificacion_mes,afluencia
2010,5,6,97,2,7356
2024,1,12,194,3,12213
2016,3,1,16,7,48487
2019,1,12,181,5,16289
2011,4,12,184,8,0
2011,7,2,42,11,22872
2020,3,1,6,10,13688
2017,6,10,149,9,14826
2022,2,3,56,12,15307
2023,7,3,54,9,6380
2014,5,10,153,8,16698
2020,6,10,148,5,0
2013,3,11,20,7,14424
2015,4,1,11,3,47300
2017,1,11,20,4,17423
2015,6,2,22,1,9593
2012,3,2,31,9,36715
2013,3,1,5,8,45358
2020,1,7,103,11,5029
2014,5,10,151,2,44828
2018,5,4,77,8,6551
2019,6,3,57,8,39085
2020,3,2,45,3,27983
2023,5,5,84,2,7829
2018,5,2,42,3,38367
2010,5,5,85,12,5893
2022,6,10,156,5,15764
2023,3,8,116,4,9269
2012,3,3,57,10,48493
2020,1,6,100,3,4848
2012,5,6,98,9,8678
2020,4,11,167,5,7116
2019,4,11,84,10,11376
2023,2,12,30,9,8300
2020,6,1,7,4,4219
2016,3,11,167,10,26486
2019,5,12,198,1,23901
2011,6,7,109,6,13184
2024,3,11,20,5,17100
2015,5,11,174,2,19860
2020,6,8,126,8,8560
2014,5,5,85,3,6719
2012,5,8,34,6,25305
2020,1,6,101,2,16062
2019,2,6,97,8,9346
2023,6,4,71,12,13667
2014,7,3,52,3,9318
2020,1,4,73,1,8527
2023,7,11,175,10,6654
2012,1,12,181,2,0
2012,2,11,169,3,34172
2020,1,7,104,10,18931
2015,5,5,79,12,9479
2023,3,12,191,4,0
2022,3,4,75,6,18684
2011,7,11,166,3,17114
2010,4,9,32,1,11669
2011,3,4,15,5,7337
2023,5,6,53,10,1533
2010,6,3,62,11,20612
2015,3,12,30,7,7894
2019,5,1,7,9,28665
2012,7,1,7,1,7458
2012,6,4,77,12,4300
2022,4,11,73,3,5008
2014,4,8,119,4,7594
2011,3,10,150,11,24068
2014,7,7,112,7,10629
2019,2,7,113,6,18717
2019,2,11,167,6,26601
2022,3,8,130,6,22286
2016,7,1,12,1,19181
2021,4,11,84,7,6113
2020,2,8,121,3,26880
2015,1,8,116,11,9823
2020,6,3,53,2,26619
2010,5,4,73,1,6094
2011,3,9,74,5,13048
2015,1,9,74,5,11291
2016,6,6,100,12,7237
2019,4,9,58,11,16883
2016,3,3,7,6,11203
2020,2,9,11,3,35169
2017,5,2,23,2,39419
2015,7,8,124,12,25670
2023,2,2,23,8,20050
2016,1,11,167,11,14819
2024,5,3,60,7,27471
2017,6,6,99,2,4092
2021,5,1,17,11,0
2022,1,9,136,7,6185
2015,1,1,13,2,32902
2010,7,7,107,12,2146
2010,5,12,189,10,0
2022,1,10,156,10,20291
2015,3,2,25,12,20889
2017,2,6,85,3,4931
2013,1,2,43,2,20964
2023,5,1,3,2,0
2013,4,8,119,5,7411
2015,3,7,8,11,8341
2018,7,11,124,12,10993
2014,7,5,78,8,19425
2012,5,9,32,4,14147
2010,1,1,10,9,50262
2012,2,11,163,6,67549
2018,1,3,61,10,35711
2022,4,2,26,10,32488
2014,5,5,84,5,6717
2016,6,8,127,3,10035
2015,5,12,192,6,13222
2012,5,1,20,2,28693
2020,2,2,27,2,28612
2016,3,8,124,12,23107
2013,2,1,4,1,26298
2018,7,12,30,7,2353
2023,7,11,166,8,15298
2010,3,9,146,12,15990
2013,5,4,75,4,26067
2020,7,3,48,3,6640
2023,2,1,4,8,0
2018,4,8,128,9,14760
2019,5,5,85,12,7842
2020,6,3,58,1,17812
2015,1,4,76,2,4626
2022,2,2,37,4,13550
2018,6,11,158,12,61564
2016,6,2,39,6,92280
2021,6,11,161,7,13633
2020,4,7,113,8,7635
2015,1,8,121,5,38953
2024,1,1,3,4,13365
2022,2,1,10,2,37670
2018,5,8,134,4,114052
2023,1,11,158,11,56927
2013,5,8,131,5,17883
2017,5,8,34,9,17820
2016,4,6,98,6,9617
2023,1,2,39,12,15134
2022,2,1,4,6,18582
2018,5,12,196,9,14045
2023,2,5,80,8,7263
2020,7,4,70,3,2364
2016,2,1,20,3,18276
2013,7,7,114,3,5495
2020,3,1,11,10,31725
2019,6,7,114,8,23565
